File,Invoice,Items,Updated,Unchanged,New Materials,Needs Review,Error
Airpacks Sales Invoice with Allocated DDs inc batches (BT45839) with uom (Optimised)(AIR018) - SI-10.pdf,SI-104481,3,0,3,0,0,
Airpacks Sales Invoice with Allocated DDs inc batches (BT45839) with uom (Optimised)(AIR018) - SI-102779.pdf,SI-102779,2,2,0,0,0,
SI-103298.pdf,SI-103298,4,1,3,0,0,
SI-103871.pdf,SI-103871,7,2,5,0,0,
SI-104119.pdf,SI-104119,4,2,2,0,0,
SI-104150.pdf,SI-104150,5,2,3,0,0,
SI-104151.pdf,SI-104151,2,0,2,0,0,
SI-104197.pdf,SI-104197,4,1,3,0,0,
SI-104732.pdf,SI-104732,1,0,1,0,0,
SI-104818.pdf,SI-104818,3,0,3,0,0,
SI-104975.pdf,SI-104975,4,1,3,0,0,
SI-104976.pdf,SI-104976,2,0,2,0,0,
SI-105150.pdf,SI-105150,1,0,1,0,0,
SI-105151.pdf,SI-105151,1,0,1,0,0,
SI-105152.pdf,SI-105152,2,0,2,0,0,
SI-105153.pdf,SI-105153,3,0,3,0,0,
SI-105459.pdf,SI-105459,1,0,1,0,0,
SI-106121.pdf,SI-106121,3,2,1,0,0,
SI-106124.pdf,SI-106124,2,1,1,0,0,
SI-106251.pdf,SI-106251,1,0,1,0,0,
SI-106254.pdf,SI-106254,2,0,2,0,0,
SI-106383.pdf,SI-106383,4,0,4,0,0,
