File,Invoice,Items,Updated,Unchanged,New Materials,Needs Review,Error
Invoice 46088 from Southern Building Products Ltd.pdf,46088,1,1,0,0,0,
Invoice 46109 from Southern Building Products Ltd.pdf,46109,1,1,0,0,0,
Invoice 46360 from Southern Building Products Ltd.pdf,46360,2,0,2,0,0,
Invoice 46363 from Southern Building Products Ltd.pdf,46363,1,0,1,0,0,
Invoice 46679 from Southern Building Products Ltd.pdf,46679,1,1,0,1,0,
Invoice 46716 from Southern Building Products Ltd.pdf,46716,2,0,2,0,0,
Invoice 47074 from Southern Building Products Ltd.pdf,47074,1,1,0,1,0,
Invoice 47502 from Southern Building Products Ltd.pdf,47502,1,1,0,0,0,
Invoice 47670 from Southern Building Products Ltd.pdf,47670,2,0,2,0,0,
Invoice 47983 from Southern Building Products Ltd.pdf,47983,1,0,1,0,0,
Invoice 48508 from Southern Building Products Ltd.pdf,48508,1,0,1,0,0,
